"","Other","T2","T1"
"MT1G",-0.421716853772179,1.14178064245159,-0.720063788679406
"JCHAIN",-0.355650942853738,1.12921093754217,-0.773559994688436
"IGHA1",-0.297558233809708,1.11500596558949,-0.817447731779778
"MT1E",-0.440242820874909,1.14458865918187,-0.704345838306966
"IGKC",-0.208724680167104,1.08788941440172,-0.879164734234615
"ACTB",0.495748817662224,-1.151021590823,0.65527277316077
"MT1F",-0.494707617793929,1.15092908504859,-0.656221467254664
"CLCA1",-0.502479190108848,1.15159285774117,-0.649113667632321
"MT1H",-0.496597372529121,1.15109616477116,-0.654498792242042
"IGLC1",-0.0223395493912098,1.01098261138043,-0.988643061989216
"ATP8B1",-0.520996417693413,1.15292302336218,-0.631926605668764
"FCGBP",-0.544233648756246,1.15407901272357,-0.609845363967329
"ITM2C",-0.406004094470914,1.13914867381414,-0.733144579343222
"PIGR",-0.789067361096782,1.12462239073286,-0.335555029636076
"ADH1C",-0.526420309549161,1.15324456044136,-0.626824250892203
"S100A6",0.0605586218030599,-1.02890310893259,0.968344487129533
"IGHM",-0.378489679164689,1.13399833763057,-0.755508658465881
"S100A11",0.162664721690481,-1.07136020956366,0.908695487873177
"IGHJ6",-0.451202885543734,1.14609694360702,-0.694894058063284
"SPINK4",-0.519769265227764,1.15284596055224,-0.63307669532448
"ANXA2",0.109929292332904,-1.05042266286801,0.940493370535101
"TGFBI",0.269133604436385,-1.10702519578694,0.837891591350555
"IGKV4-1",-0.450948613001528,1.14606325457911,-0.695114641577584
"PRAC1",-0.536874725501146,1.15377579907792,-0.616901073576773
"S100A10",0.044046927940839,-1.0212956496657,0.977248721724865
"COL3A1",1.03241715180314,-0.964076992400229,-0.068340159402912
"COL1A2",1.02236385869556,-0.976025026881604,-0.0463388318139595
"COL1A1",1.01342571945262,-0.98601050562493,-0.0274152138276841
"COL6A3",1.06082143282818,-0.925370734313713,-0.13545069851447
"ATP1B1",-0.551794544940662,-0.602534332795722,1.15432887773638
"TCN1",-0.358764808696213,-0.771125806574281,1.12989061527049
"CEACAM5",-0.561725720665968,-0.592835120125207,1.15456084079118
"TFF1",-0.24740536548302,-0.8530741284327,1.10047949391572
"IGFBP7",1.0715733374709,-0.908342619991249,-0.163230717479646
"TFF3",-0.826801418842751,-0.284667740194929,1.11146915903768
"ACTA2",1.11495369577834,-0.817589693021167,-0.297364002757175
"GPX2",-1.13893242351727,0.404770428583109,0.734161994934166
"DCN",0.928161030845045,0.130804200817101,-1.05896523166215
"MYL9",1.01698607767285,-0.982100986789887,-0.0348850908829674
"TPM2",1.08135962917425,-0.891387690595209,-0.189971938579037
"AGR2",-0.886419659930275,-0.19764517693332,1.08406483686359
"LYZ",-0.236178200178965,-0.860769875105703,1.09694807528467
"TXN",-0.382456211279155,-0.752326574726376,1.13478278600553
"C1R",1.11142207150098,-0.284499431582537,-0.826922639918443
"TSPAN8",-1.11628025458258,0.813950203171411,0.302330051411165
"EPCAM",-1.13079634109005,0.767820319118289,0.362976021971762
"PPDPF",-0.899223009141587,-0.1777229236832,1.07694593282478
